public_operation,aliases,ue_spawn_path,ue_operation_name,owner_class,function_name,node_class,metadata,required_evidence,ambiguity_rule,included_in_graphwrite_op,exclude_reason,source_path
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_ByteByte,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:270
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_DoubleDouble,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:552
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_Int64Int64,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:429
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_IntInt,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:326
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_IntPointInt,UK2Node_PromotableOperator,ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:932
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_IntPointIntPoint,UK2Node_PromotableOperator,ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:928
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_LinearColorLinearColor,UK2Node_PromotableOperator,ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3198
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_MatrixMatrix,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2457
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_QuatQuat,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2754
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_TimespanTimespan,UK2Node_PromotableOperator,CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3445
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_Vector2DFloat,UK2Node_PromotableOperator,ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1009
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_Vector2DVector2D,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1005
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary,Add_Vector4Vector4,UK2Node_PromotableOperator,CommutativeAssociativeBinaryOperator=true; ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2086
