operation_id,variant_name,asset_path,graph_name,node_candidate,variant_mode,requested_variant_count,available_spawn_count,actual_spawn_count,required_variant_count,setup_status,preview_status,execute_status,readback_status,failure_kind,expected_readback
"container.array.add","GWGen_container_array_add_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunked_20260527_container_array_add","EG_GraphWriteGenerality_container_array_add","container.array.add","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_add"
"container.array.add_unique","GWGen_container_array_add_unique_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chu_r55aknw_container_array_add_unique","EG_GraphWriteGenerality_container_array_add_unique","container.array.add_unique","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_add_unique"
"container.array.append","GWGen_container_array_append_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunked_r55aknw_container_array_append","EG_GraphWriteGenerality_container_array_append","container.array.append","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_append"
"container.array.clear","GWGen_container_array_clear_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunked_20260527_container_array_clear","EG_GraphWriteGenerality_container_array_clear","container.array.clear","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_clear"
"container.array.contains","GWGen_container_array_contains_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunk_r55aknw_container_array_contains","EG_GraphWriteGenerality_container_array_contains","container.array.contains","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_contains"
"container.array.filter_array","GWGen_container_array_filter_array_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_C_r55aknw_container_array_filter_array","EG_GraphWriteGenerality_container_array_filter_array","container.array.filter_array","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_filter_array"
"container.array.find","GWGen_container_array_find_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunked_20260527_container_array_find","EG_GraphWriteGenerality_container_array_find","container.array.find","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_find"
"container.array.get","GWGen_container_array_get_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunked_20260527_container_array_get","EG_GraphWriteGenerality_container_array_get","container.array.get","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_get"
"container.array.identical","GWGen_container_array_identical_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chun_r55aknw_container_array_identical","EG_GraphWriteGenerality_container_array_identical","container.array.identical","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_identical"
"container.array.insert","GWGen_container_array_insert_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GraphWrite80_RealCaseE2E_AllFix07_Chunked_r55aknw_container_array_insert","EG_GraphWriteGenerality_container_array_insert","container.array.insert","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_array_insert"
