operation_id,variant_name,asset_path,graph_name,node_candidate,variant_mode,requested_variant_count,available_spawn_count,actual_spawn_count,required_variant_count,setup_status,preview_status,execute_status,readback_status,failure_kind,expected_readback
"container.map.add","GWGen_container_map_add_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_add","EG_GraphWriteGenerality_container_map_add","container.map.add","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_add"
"container.map.clear","GWGen_container_map_clear_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_clear","EG_GraphWriteGenerality_container_map_clear","container.map.clear","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_clear"
"container.map.contains","GWGen_container_map_contains_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_contains","EG_GraphWriteGenerality_container_map_contains","container.map.contains","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_contains"
"container.map.find","GWGen_container_map_find_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_find","EG_GraphWriteGenerality_container_map_find","container.map.find","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_find"
"container.map.get_key_value_by_index","GWGen_container_map_get_key_value_by_index_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_get_key_value_by_index","EG_GraphWriteGenerality_container_map_get_key_value_by_index","container.map.get_key_value_by_index","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_get_key_value_by_index"
"container.map.get_last_index","GWGen_container_map_get_last_index_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_get_last_index","EG_GraphWriteGenerality_container_map_get_last_index","container.map.get_last_index","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_get_last_index"
"container.map.is_empty","GWGen_container_map_is_empty_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_is_empty","EG_GraphWriteGenerality_container_map_is_empty","container.map.is_empty","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_is_empty"
"container.map.is_not_empty","GWGen_container_map_is_not_empty_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_is_not_empty","EG_GraphWriteGenerality_container_map_is_not_empty","container.map.is_not_empty","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_is_not_empty"
"container.map.keys","GWGen_container_map_keys_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_keys","EG_GraphWriteGenerality_container_map_keys","container.map.keys","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_keys"
"container.map.length","GWGen_container_map_length_00","/Game/BlueprintHelper/Generality/BP_GraphWriteGenerality_GWRelabel003_container_map_length","EG_GraphWriteGenerality_container_map_length","container.map.length","limited_real_nodes","10","1","1","1","pass","pass","pass","pass","none","EG_GraphWriteGenerality_container_map_length"
